run_id,run,site,instr,mooring_type,instr_model,instr_id,freq,latitude,longitude,water_depth,instr_elevation,instr_depth,timestamp_start_utc,timestamp_end_utc,comment
,,VPS-002,receiver,stationary,VR2Tx,483808,,,,,,,,,
,,VPS-002,tag,stationary,VR2Tx-H,A69-1601-63808,,,,,,,,,
,,VPS-003,receiver,stationary,VR2Tx,483888,,,,,,,,,
,,VPS-003,tag,stationary,VR2Tx-H,A69-1601-63888,,,,,,,,,
,,VPS-004,receiver,stationary,VR2Tx,480026,,,,,,,,,
,,VPS-004,tag,stationary,VR2Tx-H,A69-1601-62026,,,,,,,,,
,,VPS-005,receiver,stationary,VR2Tx,483846,,,,,,,,,
,,VPS-005,tag,stationary,VR2Tx-H,A69-1601-63846,,,,,,,,,
,,VPS-006,receiver,stationary,VR2Tx,483884,,,,,,,,,
,,VPS-006,tag,stationary,VR2Tx-H,A69-1601-63884,,,,,,,,,
,,VPS-007,receiver,stationary,VR2Tx,483871,,,,,,,,,
,,VPS-007,tag,stationary,VR2Tx-H,A69-1601-63871,,,,,,,,,
,,MBU-001,receiver,stationary,VR2Tx,480027,69,,,,,,,,
,,MBU-001,tag,stationary,VR2Tx-H,A69-1601-62027,69,,,,,,,,
,,VPS-001,receiver,stationary,VR2Tx,483815,,,,,,,,,
,,VPS-001,tag,stationary,VR2Tx-H,A69-1601-63815,,,,,,,,,
,,VPS-008,receiver,stationary,VR2Tx,483829,,,,,,,,,
,,VPS-008,tag,stationary,VR2Tx-H,A69-1601-63829,,,,,,,,,
,,MBU-002,receiver,stationary,VR2Tx,483868,69,,,,,,,,
,,MBU-002,tag,stationary,VR2Tx-H,A69-1601-63868,69,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,transmitter,stationary,V8-4H,A69-1601-57060,,44.47942,-84.76599,10.9728,9.4488,1.524,2016-11-11T14:30:00Z,2016-11-11T18:40:00Z,stationary tag ~ 5 ft below surface
,,,receiver,stationary,VR2Tx,480031,,44.48165,-84.75911,8.5344,7.0104,1.524,2016-11-11T14:36:00Z,2016-11-11T18:40:00Z,stationary receiver ~ 5 ft below surface
,,,receiver,stationary,VR2Tx,480030,,44.48015,-84.76369,7.3152,5.7912,1.524,2016-11-11T15:03:00Z,2016-11-11T18:40:00Z,stationary receiver ~ 5 ft below surface
,,,receiver,stationary,VR2Tx,480026,,44.4809,-84.7614,9.144,7.62,1.524,2016-11-11T15:07:00Z,2016-11-11T18:40:00Z,stationary receiver ~ 5 ft below surface
,,,receiver,stationary,VR2Tx,480024,,44.4824,-84.75682,10.0584,8.5344,1.524,2016-11-11T15:13:00Z,2016-11-11T18:40:00Z,stationary receiver ~ 5 ft below surface
,,,receiver,stationary,VR2Tx,480023,,44.48314,-84.75452,9.144,7.62,1.524,2016-11-11T15:19:00Z,2016-11-11T18:40:00Z,stationary receiver ~ 5 ft below surface
,,,receiver,glider,VR2Tx,480028,,,,,,,2016-11-11T15:47:00Z,2016-11-11T17:38:00Z,on glider
,,,receiver,glider,VR2Tx,480028,,,,,,,2016-11-11T17:52:00Z,2016-11-11T18:30:00Z,on glider
,,,transmitter,stationary,V8-4H,A69-1601-57060,,44.48036,-84.77586,19.812,16.764,3.048,2017-11-03T13:30:00Z,2017-11-03T19:54:00Z,stationary tag ~ 10 ft below surface
,,,nav_target,stationary,,,,44.47757,-84.77547,,,,2017-11-03T13:30:00Z,2017-11-03T19:54:00Z,no tag or receiver
,,,nav_target,stationary,,,,44.47908,-84.7727,,,,2017-11-03T13:30:00Z,2017-11-03T19:54:00Z,no tag or receiver
,,,receiver,glider,VR2Tx,480028,,,,,,,2017-11-03T16:45:00Z,2017-11-03T18:54:00Z,on glider
,,,receiver,stationary,VR2Tx,480026,,44.46738,-84.70632,9.144,4.572,4.572,2018-06-13T13:08:00Z,2018-06-15T13:36:00Z,
,,,transmitter,stationary,VR2Tx,A69-1601-62026,,44.46738,-84.70632,9.144,4.572,4.572,2018-06-13T13:08:00Z,2018-06-15T13:36:00Z,
,,,transmitter,stationary,V13,A69-1601-52218,,44.47002,-84.70566,19.6596,4.2672,15.3924,2018-06-14T15:24:00Z,2018-06-15T13:49:00Z,
,,,transmitter,stationary,V9180,H170-1802-101,,44.47002,-84.70566,19.6596,4.2672,15.3924,2018-06-14T15:24:00Z,2018-06-15T13:49:00Z,
,,,receiver,stationary,HR2,461047,,44.47063,-84.70484,21.336,4.8768,16.4592,2018-06-14T16:49:00Z,2018-06-15T16:40:00Z,
,,,transmitter,stationary,HR2,H170-1802-62047,,44.47063,-84.70484,21.336,4.8768,16.4592,2018-06-14T16:49:00Z,2018-06-15T16:40:00Z,
,,,receiver,stationary,VR2Tx,482086,,44.47063,-84.70484,21.336,4.2672,17.0688,2018-06-14T16:49:00Z,2018-06-15T16:40:00Z,
,,,transmitter,stationary,VR2Tx,A69-1601-62086,,44.47063,-84.70484,21.336,4.2672,17.0688,2018-06-14T16:49:00Z,2018-06-15T16:40:00Z,
,,,receiver,stationary,HR2,461073,,44.4708,-84.70602,9.2964,5.1816,4.1148,2018-06-14T16:59:00Z,2018-06-15T16:30:00Z,
