,SIndex,FullId,Station,Time,X,Y,Z,HPEs,HPEm,RMSE,SensorValue,SensorUnit,nBasic,RxDetected,nRxDetected,RxUsed,nRxUsed,Longitude,Latitude
1,30,A69-1601-63815,VPS-001,2021-09-20 14:28:52,1613.4395025538,35.3519917521351,-38.1,2.98564121436644,23.4424537893574,5.38577704154916,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.001599402714,45.5339658340379
2,52,A69-1601-63815,VPS-001,2021-09-20 14:38:09,1612.39001524401,40.7539101700151,-38.1,2.92740062232901,18.0718060088125,4.26704828209132,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016128317957,45.5340144386214
3,78,A69-1601-63815,VPS-001,2021-09-20 14:47:41,1613.15674368806,40.0545613220846,-38.1,2.92362260399203,19.0362200610833,3.55840715596522,NA,NA,6,483815 480027 483846 483808 483884 483888 483871 480026 483829,9,480027 483846 483808 483884 483888,5,-84.0016030167868,45.534008145569
4,107,A69-1601-63815,VPS-001,2021-09-20 14:57:42,1608.81832412003,54.6338539548803,-38.1,3.64577661537313,4.83543776900337,2.77951126899825,NA,NA,2,483815 480027 483846 483808 483884,5,480027 483846 483808 483884,4,-84.0016585403899,45.5341393262849
5,137,A69-1601-63815,VPS-001,2021-09-20 15:08:40,1609.70098415217,49.363618462064,-38.1,2.83048706455891,9.22618572938011,2.63394806509068,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016472468503,45.5340919066685
6,171,A69-1601-63815,VPS-001,2021-09-20 15:19:33,1609.91071025323,55.1185946829356,-38.1,2.76935127541046,5.61619630455489,3.54514120384481,NA,NA,6,483815 483846 480027 483808 483888 483871 480026 483829,8,483846 480027 483808 483888 483871,5,-84.0016445547049,45.5341436867753
7,201,A69-1601-63815,VPS-001,2021-09-20 15:30:16,1608.27596516007,54.6482860804265,-38.1,2.78401051477436,4.36844630577078,2.77956237218068,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016654838273,45.5341394566113
8,230,A69-1601-63815,VPS-001,2021-09-20 15:40:39,1609.25219411416,48.9621220704159,-38.1,2.82358270672919,9.33545666270572,2.82275365517996,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016529929004,45.5340882946047
9,256,A69-1601-63815,VPS-001,2021-09-20 15:50:21,1609.81966741657,42.8655797476075,-38.1,2.86944435741517,15.1293480204319,2.95982537980329,NA,NA,6,483815 483846 480027 483808 483884 483888 483871,7,483846 480027 483808 483884 483888,5,-84.00164573552,45.534033440583
10,290,A69-1601-63815,VPS-001,2021-09-20 16:00:43,1589.76571794415,104.958414524056,-38.1,2.37064574939344,50.1345703928507,26.3886615052939,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0019023974361,45.5345921369368
11,347,A69-1601-63815,VPS-001,2021-09-20 16:20:43,1605.85594043975,57.9197792990478,-38.1,2.72744617633756,1.46738185177714,1.5635585486509,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0016964617218,45.5341688939179
12,373,A69-1601-63815,VPS-001,2021-09-20 16:30:17,1603.57702939716,67.6338539603142,-38.1,2.65142892058109,10.6040640025612,5.75442921670914,NA,NA,6,483815 483846 480027 483808 483884 483888,6,483846 480027 483808 483884 483888,5,-84.0017256251247,45.534256298098
13,404,A69-1601-63815,VPS-001,2021-09-20 16:40:23,1585.81554361146,102.919995622994,-38.1,2.38883036650394,49.5544895747994,25.855247725208,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0019529716924,45.5345737996342
14,428,A69-1601-63815,VPS-001,2021-09-20 16:49:31,1606.05916423737,57.2541186136517,-38.1,2.72045538773586,1.41966102079957,0.849692167781985,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016938608071,45.5341629044717
15,452,A69-1601-63815,VPS-001,2021-09-20 16:58:44,1605.30880498738,55.9174112638331,-38.1,2.7271861082795,1.34006155803829,0.7543481267408,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 483829,8,483846 480027 483808 483884 483888,5,-84.0017034688054,45.5341508781247
16,479,A69-1601-63815,VPS-001,2021-09-20 17:08:06,1603.22193826095,68.982614794777,-38.1,2.62881247562094,11.9837882294545,5.98661147275835,NA,NA,6,483815 483846 480027 483808 483884 483888 480026 483829,8,483846 480027 483808 483884 483888,5,-84.0017301694649,45.5342684338554
17,504,A69-1601-63815,VPS-001,2021-09-20 17:17:48,1604.30872868258,64.1426715199042,-38.1,2.65982844291199,7.06671844146619,3.6702981477788,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0017162619611,45.5342248856162
18,533,A69-1601-63815,VPS-001,2021-09-20 17:28:10,1606.97438742737,49.6375333872094,-38.1,2.77386810695154,7.8010725855103,0.850180433611972,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016821532567,45.534094373593
19,617,A69-1601-63815,VPS-001,2021-09-20 17:57:36,1601.46888982365,67.7995919843431,-38.1,2.61177040127661,11.1775480667301,5.2673129701849,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0017526140634,45.5342577911453
20,640,A69-1601-63815,VPS-001,2021-09-20 18:07:31,1603.02934426663,68.4223151082526,-38.1,2.61172565614987,11.4533311993075,5.02536333280083,NA,NA,6,483815 480027 483846 483808 483884 483888 483829,7,480027 483846 483808 483884 483888,5,-84.0017326358111,45.5342633927363
21,669,A69-1601-63815,VPS-001,2021-09-20 18:18:20,1601.45165848266,64.5457634409432,-38.1,4.87761863197181,8.1180477440365,4.05430793762207,NA,NA,1,483815 480027 483808 483884,4,480027 483808 483884,3,-84.0017528386605,45.5342285148997
22,701,A69-1601-63815,VPS-001,2021-09-20 18:28:53,1601.94719242659,65.7563894165003,-38.1,2.6279029630959,9.08354250987579,4.11015344407165,NA,NA,6,483815 483846 480027 483808 483884 483888 483871,7,483846 480027 483808 483884 483888,5,-84.0017464931765,45.5342394070561
23,728,A69-1601-63815,VPS-001,2021-09-20 18:38:57,1603.90826486212,61.4563812769899,-38.1,2.66088513970539,4.43461920663738,1.85529621610527,NA,NA,6,483815 480027 483846 483808 483884 483888 483871 480026,8,480027 483846 483808 483884 483888,5,-84.0017213921486,45.5342007161178
24,758,A69-1601-63815,VPS-001,2021-09-20 18:48:03,1600.95367987314,76.8300422272008,-38.1,2.54266080135796,20.0887915339059,9.23547819647872,NA,NA,6,483815 480027 483846 483808 483884 483888 483871 480026 483829,9,480027 483846 483808 483884 483888,5,-84.0017591988824,45.5343390428935
25,783,A69-1601-63815,VPS-001,2021-09-20 18:57:10,1602.99722768396,62.7283344674876,-38.1,2.65187145213585,5.88108237656713,2.56844547127768,NA,NA,6,483815 483846 480027 483808 483884 483888,6,483846 480027 483808 483884 483888,5,-84.0017330539887,45.5342121612814
26,808,A69-1601-63815,VPS-001,2021-09-20 19:06:22,1604.01323669907,60.9687446641767,-38.1,2.66966478896193,3.93635715461606,1.81429470330186,NA,NA,6,483815 480027 483846 483808 483884 483888 483871,7,480027 483846 483808 483884 483888,5,-84.001720048865,45.5341963285256
27,834,A69-1601-63815,VPS-001,2021-09-20 19:15:42,1601.45881690174,73.7131411650801,-38.1,2.57101834311653,16.9323361168264,8.05891095480553,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0017527357589,45.5343109982
28,888,A69-1601-63815,VPS-001,2021-09-20 19:35:32,1601.53546755949,72.2571334736716,-38.1,3.39060606795749,15.4892509148199,8.70798284480138,NA,NA,2,483815 483846 480027 483808 483884,5,483846 480027 483808 483884,4,-84.0017517562375,45.5342978977325
29,914,A69-1601-63815,VPS-001,2021-09-20 19:44:53,1604.7054701253,53.2093399467456,-38.1,2.73894268474178,3.87524559220701,1.05212957833363,NA,NA,6,483815 483846 480027 483808 483884 483888 480026,7,483846 480027 483808 483884 483888,5,-84.0017111962388,45.5341265128278
30,941,A69-1601-63815,VPS-001,2021-09-20 19:54:32,1605.83083962674,55.701722519627,-38.1,2.73603289155012,1.81831424884431,1.55883563954548,NA,NA,6,483815 483846 480027 483808 483884 483888,6,483846 480027 483808 483884 483888,5,-84.0016967858141,45.5341489370157
31,971,A69-1601-63815,VPS-001,2021-09-20 20:04:47,1604.74759749241,53.0208744006541,-38.1,2.74525983154269,4.06448886404628,1.14262639448914,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0017106571434,45.5341248170761
32,993,A69-1601-63815,VPS-001,2021-09-20 20:14:13,1606.12493289351,48.7720817932626,-38.1,3.92135739688978,8.44199799811511,1.5927972082742,NA,NA,5,483815 483846 480027 483808 483888 480026,6,483846 480027 483808 483888 480026,5,-84.0016930293114,45.5340865874478
33,1050,A69-1601-63815,VPS-001,2021-09-20 20:34:38,1606.10478905104,50.6414225498259,-38.1,2.77106919983797,6.60503091014365,1.22850680910293,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 483829,8,483846 480027 483808 483884 483888,5,-84.001693284886,45.5341034068237
34,1080,A69-1601-63815,VPS-001,2021-09-20 20:44:46,1606.27862838803,52.274001698757,-38.1,2.75743848761516,5.07850673783503,1.03111340943273,NA,NA,6,483815 483846 480027 483808 483884 483888,6,483846 480027 483808 483884 483888,5,-84.001691057319,45.5341180957727
35,1107,A69-1601-63815,VPS-001,2021-09-20 20:53:58,1606.70741310205,53.2746089365315,-38.1,2.74915331990517,4.32978115369888,0.914067200482398,NA,NA,6,483815 483846 480027 483808 483884 483888,6,483846 480027 483808 483884 483888,5,-84.0016855666408,45.5341270983444
36,1134,A69-1601-63815,VPS-001,2021-09-20 21:03:20,1606.23180254278,53.1450615286656,-38.1,2.75222844608491,4.24496217549235,0.798693254761899,NA,NA,6,483815 483846 480027 483808 483884 483888 483871,7,483846 480027 483808 483884 483888,5,-84.0016916557204,45.5341259331579
37,1162,A69-1601-63815,VPS-001,2021-09-20 21:13:02,1606.91389088069,53.662220043851,-38.1,2.75111856918469,4.10321246049961,0.820619380269501,NA,NA,6,483815 483846 480027 483808 483884 483888 483871,7,483846 480027 483808 483884 483888,5,-84.0016829227656,45.5341305856882
38,1188,A69-1601-63815,VPS-001,2021-09-20 21:23:21,1606.19473394212,56.5878937035392,-38.1,2.72402935095439,1.62277594815146,0.755887853385746,NA,NA,6,483815 480027 483846 483808 483884 483888 483871 480026,8,480027 483846 483808 483884 483888,5,-84.0016921260236,45.5341569100078
39,1218,A69-1601-63815,VPS-001,2021-09-20 21:32:57,1606.75272194,56.5586121011106,-38.1,2.72765607837076,2.1676907558825,0.898465291965131,NA,NA,6,483815 480027 483846 483808 483884 483888 483871 480026,8,480027 483846 483808 483884 483888,5,-84.0016849825144,45.5341566460615
40,1269,A69-1601-63815,VPS-001,2021-09-20 21:52:22,1606.85840433036,56.8153265128509,-38.1,2.73214136865783,2.22499727352908,1.32125286101467,NA,NA,6,483815 483846 480027 483808 483884 483888 480026,7,483846 480027 483808 483884 483888,5,-84.0016836292157,45.5341589557526
41,1293,A69-1601-63815,VPS-001,2021-09-20 22:01:50,1606.74370297757,53.8912658367833,-38.1,2.75617316125269,3.81831548161211,1.5332358577769,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0016851012822,45.5341326466716
42,1351,A69-1601-63815,VPS-001,2021-09-20 22:22:27,1607.2723736521,52.4192838310112,-38.1,2.76919227197203,5.35160339223685,1.89172317756853,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0016783348947,45.5341194020807
43,1379,A69-1601-63815,VPS-001,2021-09-20 22:32:51,1607.1837293875,50.6564231098642,-38.1,2.78413524646573,6.9092232810069,2.04493256032285,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026 483829,9,483846 480027 483808 483884 483888,5,-84.0016794719322,45.5341035408518
44,1463,A69-1601-63815,VPS-001,2021-09-20 23:02:54,1605.76303258065,51.3455767309852,-38.1,2.76899746161119,5.84560549276131,1.76256980696615,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0016976592894,45.5341097427349
45,1490,A69-1601-63815,VPS-001,2021-09-20 23:13:32,1605.22839061008,54.7294231830056,-38.1,5.11381477868343,2.42482388329584,1.96564197540283,NA,NA,1,483815 483846 480027 483808,4,483846 480027 483808,3,-84.0017044997645,45.5341401892942
46,1518,A69-1601-63815,VPS-001,2021-09-20 23:23:46,1606.24923252687,51.4784968558997,-38.1,2.76696024573415,5.82942562209812,1.74651975345762,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0016914346389,45.5341109382584
47,1543,A69-1601-63815,VPS-001,2021-09-20 23:33:10,1606.08036736417,52.9357387594898,-38.1,2.75841172815801,4.3882091942544,1.75648007157249,NA,NA,6,483815 483846 480027 483808 483884 483888 483871 480026,8,483846 480027 483808 483884 483888,5,-84.0016935947012,45.5341240499119
48,1572,A69-1601-63815,VPS-001,2021-09-20 23:42:55,1606.46732612299,51.9582880607902,-38.1,3.95545808594935,5.43861557590922,1.88005718186539,NA,NA,3,483815 483846 480027 483808 483888,5,483846 480027 483808 483888,4,-84.0016886419413,45.534115254981
